""	"HCC3_BaP_C0_093_S93"	"HCC3_BaP_C0_094_S94"	"HCC3_BaP_C5_053_S53"	"HCC3_BaP_C5_054_S54"	"HCC3_CISP_C0_281_S281"	"HCC3_CISP_C0_282_S282"	"HCC3_CISP_C5_241_S241"	"HCC3_CISP_C5_242_S242"
"CNKSR3_10480"	375	378	82	81	723	467	158	88
"NHP2_10492"	582	556	302	221	908	754	692	511
"HSD3B2_10507"	1	2	0	0	12	6	0	0
"MAGEA2_10525"	3	3	0	0	3	2	1	3
"FBXO5_10555"	204	171	584	330	419	375	857	416
"KRT7_10561"	5	2	5	0	1	3	35	29
"RABGGTB_10572"	1598	1430	1099	734	1570	1397	932	660
"C1QBP_10605"	2917	2401	1816	1445	6835	5333	3731	2940
"SCARA3_10615"	99	79	203	179	207	207	881	468
"SGK2_10628"	986	1041	251	75	4055	2276	802	552
"SLFN12_10631"	0	0	0	0	2	0	0	0
"GSTM1_10645"	36	53	10	13	79	50	35	23
"GDF9_10651"	0	1	0	0	1	4	2	0
"RNASE6_10652"	0	0	1	0	2	0	0	0
"ANP32E_10658"	1330	1199	1490	719	2304	1947	1831	1169
"TIMMDC1_10676"	335	281	291	147	545	370	494	217
"SOS1_10682"	17	19	16	15	51	11	17	27
"PSAT1_10692"	26	28	29	26	87	50	87	53
"IGSF6_10705"	0	0	0	0	0	0	0	0
"CEBPB_10745"	1994	2068	984	484	6206	4355	3601	1664
"MS4A4A_10754"	0	0	0	0	0	0	0	0
"RANBP2_10755"	0	1	1	0	3	0	0	1
"GPR87_10766"	422	371	1342	1146	1120	806	3503	2266
"MARCKS_10769"	9	4	5	7	27	9	15	6
"CYP1A1_10775"	1289	1258	2173	1141	1011	542	195	108
"CRIM1_10788"	8981	9060	3443	1698	17005	12887	5677	2912
"KRT19_10816"	119	98	49	24	575	399	381	198
"MMADHC_10852"	1190	1032	1365	1099	2203	1595	2198	1605
"NAMPT_10869"	24061	22263	9908	5458	41365	31402	11027	9418
"IGFBP1_10877"	3	2	29	26	12	50	75	174
"ASS1_10887"	1665	1653	352	272	2147	1463	543	355
"F2R_10901"	0	4	15	6	10	2	18	18
"EMG1_10916"	15	8	19	8	37	37	36	15
"PSMA4_10918"	859	777	897	635	1251	930	2303	1794
"ACMSD_10919"	0	0	0	0	2	1	0	0
"WDR3_10929"	2474	2092	1397	632	3832	2477	1580	1163
"HLA-DMB_10963"	6	12	22	22	18	7	30	28
"ORMDL3_10971"	532	465	329	175	697	658	413	247
"LCE1E_10980"	0	0	0	0	8	3	1	0
"TRPC6_10988"	0	0	0	1	4	0	0	0
"FCER1G_11058"	15	8	22	25	31	28	38	6
"MPDZ_11090"	49	25	24	14	53	30	51	20
"SEL1L_11119"	823	756	335	187	1530	1177	474	226
"ISG20_11135"	11	10	30	18	45	36	122	59
"CCL14_11163"	2	13	0	0	9	6	12	3
"COPA_11179"	43	55	78	83	185	60	285	135
"TMEM185A_11192"	297	231	264	152	547	494	427	218
"FASN_11197"	3065	3038	600	406	9976	6755	1557	1033
"GPX2_11201"	7	4	14	5	1	4	35	15
"FMO5_11213"	42	55	2	9	37	32	15	15
"JUNB_11226"	16	3	10	20	29	9	42	15
"TCF19_11253"	35	27	46	28	78	76	58	46
"SLC44A4_11273"	0	0	0	0	1	0	0	0
"GPR171_11276"	1	0	11	0	0	3	0	0
"PKIB_11293"	16	7	9	2	34	23	12	10
"ANKRD26_11298"	42	38	42	31	67	66	43	24
"COL16A1_11319"	33	16	68	27	53	60	166	67
"MRPL14_11352"	263	271	209	198	788	609	871	744
"CLEC4A_11353"	6	0	2	1	8	0	3	1
"CENPH_11358"	290	216	931	575	814	838	1505	1198
"TIPIN_11359"	419	338	822	527	946	735	802	611
"MZB1_11368"	0	0	0	2	0	1	0	1
"HERC5_11373"	81	102	202	135	109	95	511	242
"VDAC2_11431"	0	1	8	5	5	15	15	5
"PLEKHA7_11450"	524	543	88	60	1940	1008	138	67
"APOBEC3G_11453"	1	3	0	1	0	0	17	22
"SLC2A14_11487"	9	11	1	4	28	29	9	2
"GBP5_11495"	1	0	7	6	26	12	39	29
"MAPT_11555"	272	246	9	4	401	248	23	1
"ITK_11559"	0	0	0	0	0	7	0	0
"GGT5_11580"	57	49	20	18	128	85	28	18
"FABP1_11582"	25306	28890	147	78	22993	14323	235	432
"S100B_11600"	2	0	0	0	0	0	1	0
"ZBTB41_11607"	865	838	936	563	1295	1043	1212	808
"PRKAA1_11642"	145	177	177	113	239	163	400	230
"USH1C_11650"	0	0	0	0	0	0	1	0
"PUS1_11654"	304	252	204	106	565	409	291	193
"GMFG_11656"	0	0	0	0	0	1	0	0
"PCDH8_11671"	2	0	0	0	7	0	0	0
"SAMHD1_11680"	50	59	49	41	43	24	97	47
"IFITM2_11682"	3810	3344	4353	3031	8223	6364	5758	3813
"AHSP_11700"	0	0	1	0	22	0	10	1
"GUCY1B3_11762"	0	0	0	0	3	0	0	0
"IFI44_11793"	131	178	214	155	270	187	247	177
"CNN3_11840"	11646	11128	7305	5490	15159	11986	9474	6880
"CCR7_11841"	0	0	0	0	0	0	9	4
"CD79A_11842"	0	0	3	0	3	4	0	0
"CD69_11844"	0	0	0	2	5	0	0	0
"CDA_11848"	1273	1144	1166	761	3556	3037	2150	1428
"CHMP4C_11853"	58	62	145	73	84	44	300	122
"NR4A3_11854"	0	0	12	3	2	3	7	3
"COL8A2_11859"	0	0	0	0	11	0	0	0
"CYP11A1_11890"	0	5	0	0	0	7	2	1
"CYP24A1_11891"	5	4	5	13	4	5	12	7
"RSL24D1_11903"	1146	1099	973	810	2305	2027	1711	1387
"TCEAL9_11904"	848	815	914	638	1131	771	1798	1305
"HAUS1_11922"	16	22	46	48	45	28	83	53
"CST1_11926"	0	0	0	0	8	2	0	0
"SERPINE2_11933"	0	0	6	3	5	9	7	3
"RGR_11946"	0	1	0	0	0	0	1	2
"LILRA6_11957"	0	0	4	0	11	3	0	0
"HIST1H2BI_11969"	87	47	151	122	233	205	302	253
"HIST1H2BN_11971"	238	220	416	354	955	807	965	1008
"HIST1H2BE_11972"	4	1	10	3	14	6	4	2
"HIST1H2BF_11973"	130	101	203	221	550	439	577	514
"TOMM20_11983"	54	35	69	40	85	41	119	80
"GATA6_11986"	191	221	292	208	176	121	502	161
"ANLN_12002"	563	351	1305	1236	1049	1103	3844	2186
"HOXD8_12050"	0	0	0	0	0	0	0	0
"NR1I2_12051"	121	134	21	20	252	204	116	58
"MXRA5_12061"	10	8	2	0	43	29	8	10
"CYP2C9_12062"	11525	11464	366	188	10155	7255	236	337
"L1CAM_12063"	0	0	0	2	5	0	1	0
"MS4A7_12103"	2	0	1	1	6	5	1	0
"HIST1H2AG_12124"	710	543	1055	1073	2643	2802	2581	2631
"GINS1_12127"	1	0	4	14	6	14	21	8
"HIST1H2BB_12129"	250	230	841	750	980	1189	1664	1470
"SPOPL_12140"	175	121	96	87	142	124	264	160
"RGL4_12168"	0	0	0	0	1	0	0	0
"IDI1_12170"	7431	6481	2320	1357	7702	5400	2536	2060
"HSD11B2_12187"	4	2	0	0	6	0	8	5
"ATP1A1_12191"	1692	1723	1201	659	2751	1784	4130	2267
"SMARCA5_12194"	38	28	17	10	31	25	55	34
"RPL28_12205"	12765	11936	11504	9122	27950	23563	16905	13550
"RPL29_12206"	11348	11073	7572	5500	38335	33855	20036	19076
"ALAS2_12215"	0	4	2	0	3	0	0	0
"PPARGC1A_12225"	101	105	12	9	201	161	26	15
"ESR1_12234"	0	0	0	0	0	0	0	0
"GEN1_12237"	202	195	393	269	720	542	775	578
"PCOLCE_12241"	10	6	7	1	21	1	19	14
"KLRC2_12242"	453	422	215	125	847	583	448	385
"SCOC_12252"	4477	4048	3839	2589	10580	8438	5320	4529
"CD2_12308"	0	1	0	0	4	1	0	1
"ACTA1_12333"	3	0	5	0	3	0	3	1
"ADAM8_12335"	21	24	17	3	141	95	28	9
"LYAR_12352"	579	633	748	325	1121	781	849	740
"CXCL12_12361"	0	0	0	0	0	0	0	0
"MRPL37_12369"	278	361	290	193	565	413	650	392
"A2M_12371"	431	358	53	61	727	403	248	174
"HECTD2_12402"	104	110	161	129	224	135	261	183
"RGPD1_12424"	1	3	5	0	17	12	5	0
"CDCA7_12449"	0	1	0	19	16	6	12	5
"SLC18A2_12450"	0	0	0	6	6	2	0	0
"AMER1_12473"	109	102	85	59	478	237	129	88
"RTN4IP1_12502"	557	487	257	123	1190	765	252	215
"ARRDC4_12510"	316	306	227	91	261	175	192	57
"E2F7_12550"	17	11	229	185	45	25	508	297
"HIST1H3B_12576"	419	356	923	859	2264	2657	1720	1764
"VEGFA_12596"	68	106	167	59	295	384	160	118
"COL11A1_12599"	1	15	8	2	21	25	8	5
"APTX_12622"	579	476	514	294	752	700	1099	657
"MCM2_12650"	0	5	7	1	11	2	10	6
"C1QB_12721"	0	3	2	1	14	0	2	7
"CYP11B1_12735"	0	0	0	0	2	0	0	0
"TTC17_12763"	11	2	11	2	16	9	13	10
"PSMB6_12772"	1250	1333	1231	884	1468	1302	2080	1091
"RAD50_12781"	887	756	601	364	1497	1258	1024	679
"CCR1_12794"	0	0	0	3	10	7	4	5
"CNN1_12800"	5	2	24	7	28	32	45	8
"HHIP_12808"	0	0	0	0	2	1	0	0
"ADM_12873"	78	117	147	100	200	216	277	315
"SMC2_12897"	31	14	72	20	43	42	190	115
"NANOG_12901"	0	1	3	0	17	5	2	3
"GPR183_12920"	0	3	0	2	0	2	0	1
"SCGB1D2_12936"	57	40	11	2	81	93	69	49
"NCF2_12973"	1246	1244	1995	1212	3337	2714	4306	3104
"TRIP13_13050"	4	15	36	48	18	37	120	105
"DHX15_13052"	590	486	562	367	516	289	971	564
"FAM72B_13072"	0	0	11	5	6	1	101	37
"DDR2_13092"	0	0	0	0	0	0	0	0
"UQCRC1_13094"	2960	2582	1423	1196	7357	5196	4874	3208
"SEMA5A_13118"	0	0	6	0	2	1	1	0
"PDHB_13121"	2874	2749	1692	1105	4556	3379	2279	1447
"GNRHR_13123"	0	0	0	1	4	0	0	2
"ELANE_13129"	0	0	0	0	7	0	0	0
"MTNR1A_13132"	0	0	2	2	5	0	0	0
"ENO2_13140"	6	3	44	27	155	198	190	114
"SULT1B1_13188"	83	62	0	4	223	196	45	27
"BTG2_13191"	96	48	422	253	179	136	922	441
"FPR1_13192"	102	95	89	97	439	405	61	34
"FGF7_13194"	0	1	4	0	6	3	5	0
"ATP5J_13202"	6	10	2	3	19	2	5	8
"GNAI3_13219"	21	6	59	38	49	22	49	18
"GCNT3_13241"	89	84	39	9	148	66	137	85
"HOXD4_13252"	1	1	0	2	0	0	2	1
"DAAM1_13274"	508	430	539	227	606	421	1486	854
"PLA2G2A_13291"	21	44	6	3	33	28	6	0
"COL6A3_13292"	26	16	25	20	70	112	0	5
"RRM2B_13340"	960	824	1912	1490	1711	1385	6092	3826
"G0S2_13343"	51	51	26	14	132	89	120	72
"MAOB_13383"	6499	6320	978	488	11935	8312	1338	980
"CES2_13386"	60	49	93	36	177	138	246	159
"SRSF2_13425"	1029	848	707	608	1223	729	1385	768
"SFRP2_13438"	12	6	6	11	38	16	4	5
"ENG_13441"	0	0	3	0	7	3	0	0
"RBM12B_13445"	14	15	7	11	46	15	26	15
"PGA3_13453"	0	0	1	0	8	4	0	0
"XRCC1_13455"	0	3	0	0	7	2	0	0
"MND1_13458"	26	16	123	120	79	59	263	272
"NCF4_13488"	0	0	0	0	7	0	1	0
"SASH3_13505"	0	1	0	0	0	0	0	0
"HSPA2_13514"	53	38	38	20	166	154	105	65
"CTTNBP2_13527"	0	2	3	0	0	0	4	0
"MOB1A_13529"	218	208	217	184	315	204	500	324
"MAGEA6_13535"	2645	2751	2463	1763	7079	5542	3771	2207
"MAGEA3_13536"	118	107	90	97	236	143	213	116
"ESRP1_13554"	1	0	0	2	5	1	0	5
"TUBB2B_13577"	29	39	56	20	110	77	161	84
"MYB_13607"	8	1	14	5	7	11	25	10
"OLR1_13618"	0	0	0	0	5	0	0	4
"GADD45G_13658"	0	1	6	0	2	6	1	0
"FMO1_13664"	2	0	0	0	11	22	0	1
"ZWILCH_13665"	279	221	803	546	693	633	1264	948
"FN1_13666"	10894	10703	6004	3985	32291	25709	14464	9523
"KRT81_13695"	3	1	9	18	22	20	21	17
"NRCAM_13710"	794	757	668	323	1412	1146	578	440
"SLC7A5_13711"	27	14	121	83	54	55	79	29
"DPPA5_13721"	0	0	3	0	1	1	0	0
"KLK2_13727"	0	0	4	0	0	1	0	0
"KRT6A_13729"	391	308	340	245	2975	1808	2209	1458
"FCGR3A_13772"	0	1	0	0	0	0	0	0
"STRBP_13783"	232	241	134	55	272	196	170	100
"POLR2H_13796"	395	459	602	272	1260	827	671	449
"PPM1B_13805"	81	53	105	29	106	73	178	128
"CLEC7A_13828"	0	4	0	0	9	4	0	9
"TRAT1_13833"	1	0	0	0	2	0	0	0
"AMY2A_13847"	53	67	58	43	110	72	26	32
"TREM1_13872"	8	4	77	52	73	91	335	184
"TIMP1_13877"	5810	5330	11839	9583	9511	7522	26305	15442
"CD52_13919"	0	1	2	0	3	1	2	1
"SLC1A3_13929"	95	132	61	24	121	77	78	33
"PF4_13958"	0	0	0	0	0	0	0	0
"MUC3A_13976"	0	0	3	0	2	0	0	1
"CD163_14001"	0	0	0	0	4	0	0	0
"HSPA5_14023"	3339	2505	1416	920	5560	4454	1313	772
"TUBB2A_14065"	931	804	843	670	949	781	1712	897
"TNFRSF1B_14069"	116	126	92	91	372	296	286	204
"PECAM1_14079"	39	35	14	4	71	49	3	6
"RIPK3_14085"	0	0	0	0	0	0	0	1
"RAD54L_14089"	17	16	216	173	188	154	451	257
"SLC7A11_14100"	24	42	57	39	48	58	61	34
"FAM96A_14110"	1852	1730	835	530	6400	5102	760	639
"NSG1_14124"	7	7	6	4	3	19	12	2
"NDUFA4_14125"	274	306	159	156	647	441	502	369
"ZNF367_14143"	105	87	252	137	346	277	344	177
"FCRLA_14150"	0	0	0	6	0	1	2	6
"ZWINT_14161"	10	18	65	66	31	35	160	110
"AMACR_14170"	0	0	1	0	5	0	0	0
"CD34_14176"	1	0	0	1	0	1	0	1
"GREB1_14205"	51	27	1	1	118	74	24	12
"ANXA5_14212"	4303	3633	4912	3591	3600	3138	5065	2771
"C2CD5_14220"	46	29	15	12	54	34	22	38
"EIF3D_14221"	59	56	57	51	132	61	166	115
"EIF3A_14222"	470	485	323	129	412	292	366	124
"ATP1A2_14227"	152	144	38	26	368	224	51	31
"CCR2_14230"	1	0	0	0	0	0	0	0
"RCSD1_14231"	0	0	2	0	1	0	2	0
"CENPK_14270"	320	248	1576	921	1123	1068	2312	2002
"POLE3_14273"	374	386	904	750	703	504	1030	813
"CCDC80_14320"	77	64	71	78	137	116	182	96
"CXCL8_14324"	844	728	2346	1955	2175	1476	3911	3544
"IL4_14330"	0	0	0	0	3	0	0	0
"BAK1_14344"	0	2	0	0	14	3	2	9
"ABCB10_14348"	24	24	57	47	42	19	70	78
"ATP6AP1_14351"	168	154	190	155	386	256	398	194
"GIN1_14366"	16	8	2	6	26	17	42	13
"EPS15_14377"	529	502	202	117	593	423	290	218
"ATG4C_14397"	239	237	110	75	299	181	186	131
"CYP2B6_14401"	132	157	0	0	62	19	0	0
"PLAGL1_14406"	0	0	0	0	7	0	0	0
"JAML_14411"	0	0	0	0	7	1	0	0
"CYP2A7_14419"	0	0	1	0	2	1	1	0
"VTN_14427"	157	145	26	16	247	145	243	130
"TCL1A_14440"	0	0	0	0	3	4	0	0
"CCL11_14453"	0	0	2	0	5	0	0	1
"GPR89B_14463"	338	297	317	241	376	291	348	269
"IL13_14468"	5	2	0	0	0	0	0	1
"PINK1_14500"	1465	1432	827	650	2799	2220	1907	1189
"PRKG1_14530"	160	150	1	2	389	260	3	10
"HIST1H1E_14544"	4984	5042	6318	4913	10880	12143	7179	6302
"PRKAB1_14557"	86	84	178	103	166	159	469	304
"MS4A1_14568"	0	0	4	0	18	2	0	0
"GSTA4_14580"	0	0	0	0	1	4	2	0
"SRD5A1_14585"	222	213	260	148	319	210	359	192
"PRC1_14588"	55	36	91	93	345	324	624	382
"FMO3_14602"	2186	2416	247	174	3428	2359	404	304
"LEF1_14627"	130	142	278	203	194	142	184	112
"ATP6V1F_14631"	4897	4653	4689	3730	9388	8334	8489	6048
"P2RY10_14651"	0	0	0	0	0	0	4	0
"ARNT_14705"	438	414	252	156	561	425	415	235
"KIF23_14714"	148	92	372	298	331	343	1242	760
"LRRFIP2_14725"	43	10	8	17	53	20	41	34
"PIK3AP1_14739"	25	35	2	0	53	34	6	4
"PEG3_14757"	0	0	0	0	6	0	0	0
"SLC25A6_14758"	628	689	250	192	2027	1763	829	597
"SLCO1B1_14765"	976	889	62	31	2477	1928	65	75
"CA9_14814"	80	41	49	46	754	825	546	472
"PPA1_14828"	207	187	170	160	333	159	451	311
"FAM83D_14832"	22	23	44	45	57	49	436	205
"EEF1B2_14833"	2175	1863	2144	1448	3412	2704	3411	2907
"ACTA2_14836"	251	220	385	316	772	512	917	523
"SBSPON_14886"	0	0	0	1	7	1	2	0
"LSS_14888"	94	71	20	1	327	187	20	14
"ANK1_14922"	0	1	0	0	11	2	5	2
"IARS_14941"	26	9	16	16	15	26	38	16
"ID3_14942"	5	1	6	1	16	16	1	7
"ID1_14943"	12539	12738	4118	2445	33723	30791	6541	5633
"SLA_14953"	0	0	0	0	0	0	0	0
"RPL15_14976"	23247	23421	17751	12160	59850	51363	28163	22920
"CFL2_15015"	245	170	181	69	490	385	297	208
"CBWD5_15051"	24	32	29	24	101	76	39	26
"LHCGR_15074"	0	0	0	2	4	0	0	2
"GDF7_15077"	58	68	22	20	183	150	106	22
"GZMK_15088"	0	0	0	0	3	4	0	1
"SLC30A3_15096"	0	0	0	0	0	3	2	1
"HGF_15098"	5	13	3	13	32	24	15	15
"CD27_15100"	0	0	0	1	0	0	0	1
"CYP4A11_15140"	83	97	0	0	268	143	2	7
"PTGER1_15145"	0	0	1	0	1	4	0	0
"CYP2C8_15146"	6483	6856	49	31	12225	8497	112	81
"CYP2C18_15147"	2	0	0	0	4	5	4	0
"STIL_15150"	1	2	9	4	10	8	8	19
"EI24_15156"	1719	1524	2432	1446	2349	2258	504	450
"UGT2A3_15183"	292	260	64	29	746	407	147	147
"PARP14_15187"	171	169	112	110	265	185	183	121
"DENND3_15196"	0	5	5	2	4	4	8	4
"ZNF555_15210"	128	91	88	42	113	109	101	92
"CMPK2_15212"	0	0	0	0	7	3	0	0
"IDH3A_15224"	3113	3065	2782	1841	3540	2231	3542	2436
"AP3M1_15244"	3425	3199	2079	1396	5029	3819	2572	1695
"SLC51A_15250"	4	5	0	0	49	35	13	2
"DPP10_15296"	0	0	0	0	2	0	2	0
"CAV2_15304"	5358	4392	1726	940	14751	12543	1774	1543
"CMTM2_15310"	0	0	0	3	2	0	0	0
"ASB5_15332"	0	0	5	0	2	0	3	2
"KCTD9_15339"	41	40	102	83	41	40	155	79
"BNC2_15341"	1	2	0	0	1	0	1	0
"ERO1B_15346"	130	123	94	97	174	117	170	68
"GDI2_15353"	2328	2163	1413	967	2994	2507	2434	1825
"AR_15392"	26	44	4	2	81	64	42	17
"HOXD10_15423"	0	0	0	0	5	0	0	0
"ONECUT1_15460"	37	11	4	0	39	27	12	12
"AP1M2_15493"	0	0	0	0	0	4	1	0
"FBXO22_15494"	50	22	51	40	73	49	100	49
"RARA_15510"	36	20	34	37	50	22	67	51
"CLU_15548"	236	160	45	22	349	202	258	183
"FOLH1B_15606"	2	0	0	0	9	0	0	1
"JKAMP_15608"	62	77	55	40	136	84	109	110
"CRY1_15619"	775	726	395	244	1028	944	648	325
"IL2RG_15624"	0	0	2	0	4	0	9	5
"TIMM23B_15627"	32	27	23	16	35	33	30	24
"SOCS3_15641"	5	11	14	4	24	19	13	27
"RMI1_15666"	69	53	128	116	98	78	306	171
"PIK3R1_15690"	206	244	53	55	493	323	116	100
"TCF4_15698"	6	18	2	10	21	14	12	12
"YWHAB_15704"	4215	3568	3153	1923	16008	12272	4703	4066
"MTNR1B_15721"	0	0	0	0	6	0	0	4
"TACC3_15729"	298	217	613	527	444	390	1137	650
"TOPORS_15752"	78	73	67	51	134	117	109	66
"TSLP_15791"	9	0	0	0	2	1	3	0
"CASP1_15797"	176	146	510	340	359	248	1147	790
"FCGR1A_15846"	0	0	0	1	1	0	0	2
"CRP_15847"	12	11	1	1	28	3	3	0
"MMP9_15866"	4	0	0	0	0	0	4	1
"ABCC1_15868"	474	425	170	117	727	645	202	83
"HLA-DRB5_15922"	48	46	40	14	56	35	22	11
"EEF2K_15933"	59	44	17	12	108	73	27	17
"ARHGAP15_15992"	0	0	0	0	0	0	0	0
"HOXA9_16016"	0	0	0	2	3	2	0	3
"CHST13_16045"	16	26	5	1	78	29	15	6
"PODXL_16080"	4	1	12	5	8	5	33	14
"ST3GAL1_16088"	24	24	24	13	58	30	25	2
"EGR3_16091"	0	0	0	0	0	2	2	0
"USMG5_16099"	2628	2558	1377	1078	6536	6497	1979	1790
"C3AR1_16101"	0	0	0	0	6	0	4	2
"CD3E_16113"	0	0	0	0	0	0	0	0
"ELOVL2_16117"	2	6	2	0	4	11	1	4
"MFAP5_16153"	4	3	4	9	20	2	8	10
"NDC80_16173"	0	0	1	1	0	5	5	0
"NR2F2_16181"	1	0	0	0	5	4	0	2
"SEC23A_16204"	82	81	60	61	107	95	95	69
"HOXB13_16208"	0	0	2	2	3	0	17	3
"AIF1_16224"	7	2	3	7	19	8	0	9
"GIMAP4_16236"	1	2	1	2	20	1	7	9
"AGXT2_16258"	0	1	0	0	0	0	3	0
"CTPS1_16302"	659	583	724	405	944	745	851	567
"CBWD3_16310"	8	4	6	2	11	10	13	9
"SLC2A5_16347"	1	3	0	0	5	8	2	2
"SLC15A3_16357"	0	0	0	1	0	1	0	2
"WIPI1_16368"	8	9	3	3	3	1	23	5
"DDIAS_16376"	7	1	64	35	21	1	116	64
"RPL7L1_16386"	68	74	100	83	143	50	166	117
"IL20_16401"	0	1	2	2	0	0	0	2
"PSMD12_16403"	732	606	1052	821	739	610	1423	896
"PSMD8_16404"	354	347	472	326	833	577	1046	660
"PANK3_16409"	804	849	648	425	928	663	950	460
"VSIG4_16450"	0	0	0	0	3	0	0	3
"BRIP1_16491"	2	0	8	13	14	1	39	35
"HMGCS2_16503"	3022	3380	66	40	6178	3792	374	347
"FPGT_16510"	13	9	13	9	21	21	30	19
"SH3GLB1_16515"	134	120	181	95	127	116	152	168
"ADGRG3_16524"	0	0	0	0	0	0	0	0
"KCNK9_16534"	0	1	0	0	0	0	0	1
"SLC39A4_16539"	0	0	0	0	0	0	0	1
"WNT7B_16545"	4	6	10	2	9	11	18	8
"GPX1_16566"	979	971	2276	1548	3457	2991	7878	4652
"DEPDC1_16570"	76	36	120	100	186	226	447	273
"SPTLC1_16572"	1	0	0	1	3	1	8	5
"PVR_16595"	210	152	298	178	351	335	568	267
"MBL2_16596"	24	15	29	23	55	39	3	3
"NNMT_16600"	751	689	190	106	1366	807	433	355
"NFYB_16601"	38	33	30	15	59	17	42	35
"DNA2_16614"	10	5	14	9	32	9	10	15
"SLC13A5_16615"	0	0	0	0	6	0	0	0
"CIB1_16624"	550	510	439	331	1048	872	1331	989
"ARSG_16625"	91	93	23	25	138	186	9	0
"HSD3B1_16639"	3	2	0	3	19	15	15	5
"ABCC4_16668"	37	52	35	20	68	60	13	9
"NR1I3_16711"	129	175	3	1	87	105	6	0
"NR1D1_16735"	3	4	21	16	9	3	99	30
"DDIT3_16736"	150	211	269	209	427	402	468	356
"ME1_16747"	0	0	0	0	7	0	0	0
"DPYS_16757"	182	210	7	6	355	232	8	43
"UBASH3A_16769"	0	0	0	0	1	5	0	0
"GNMT_16770"	28	29	0	0	20	6	4	0
"SEMA4B_16787"	138	127	68	57	460	344	257	206
"TLR8_16795"	0	0	0	0	0	6	0	3
"PSMA1_16796"	90	72	105	66	132	146	172	127
"ITPKC_16864"	350	341	211	151	415	306	433	101
"VRK1_16871"	210	217	421	252	427	319	1000	690
"BMF_16921"	290	268	58	50	394	222	54	15
"CDH5_16945"	0	0	0	0	0	1	0	0
"TRUB2_16962"	59	59	44	36	117	55	117	53
"NTRK1_16966"	0	0	0	0	0	0	0	0
"MORF4L2_16981"	344	331	389	359	507	440	578	311
"PIGP_17005"	711	787	540	424	1071	945	902	671
"EXO1_17006"	29	44	356	227	69	75	447	321
"CTGF_17007"	644	575	680	434	1927	1640	843	473
"ARL1_17096"	302	285	152	139	388	232	242	215
"CCL4_17107"	2	0	0	5	6	5	5	1
"HNRNPF_17115"	6	8	4	5	11	12	5	8
"GSTM3_17117"	18	16	39	31	38	4	36	24
"GSTA3_17118"	0	0	0	0	0	1	0	1
"GSTA2_17119"	11	3	0	0	11	8	0	3
"DHCR7_17139"	24	26	8	6	61	26	19	16
"LUM_17157"	572	538	1047	775	833	623	467	366
"HCST_17168"	9	14	30	36	51	34	74	36
"ATP5C1_17193"	18384	18375	7108	4800	55511	38194	11338	10272
"SNRPD3_17215"	2080	1969	3096	2120	2664	2230	3921	2729
"EOMES_17242"	0	0	8	1	1	5	20	5
"SRPX_17263"	76	80	36	45	290	256	300	236
"TNFSF10_17292"	20	7	2	0	46	19	37	25
"CYTIP_17298"	0	0	0	0	2	2	1	1
"CYP17A1_17310"	0	0	0	0	4	3	0	0
"CYP2D6_17313"	5	5	0	0	2	9	8	4
"CYP1B1_17315"	156	127	500	300	100	51	172	51
"BCL2A1_17331"	0	0	13	3	0	0	18	10
"THY1_17341"	0	0	0	0	0	0	2	0
"WT1_17358"	38	32	24	16	53	31	15	8
"SOD3_17377"	270	250	229	84	850	653	334	229
"SPAG5_17378"	150	99	443	303	354	275	1286	746
"LAT_17399"	28	25	55	10	112	52	46	35
"TST_17424"	8845	9216	2259	1449	26110	15613	2987	2282
"TXNDC5_17478"	1591	1543	1704	1442	3010	2561	2491	1403
"SERPINA3_17487"	293	163	87	49	367	253	665	389
"CYP4F2_17490"	1347	1436	95	68	1139	713	225	142
"SP110_17499"	28	26	32	27	39	48	105	48
"CRYAB_17511"	25	17	24	22	47	49	243	128
"UBB_17534"	95	76	184	124	177	177	368	225
"TPSB2_17547"	1	0	0	0	0	0	0	1
"HIKESHI_17564"	281	302	144	129	758	801	186	144
"GDPD3_17580"	3	0	6	0	3	1	7	0
"SAT1_17598"	4116	3830	5417	4348	4727	3605	6751	4319
"FAM72C_17605"	18	23	61	48	43	23	178	63
"KIF18A_17633"	3	2	12	15	11	9	118	86
"ASB3_17651"	23	14	19	14	22	24	61	34
"GPX4_17664"	2804	2422	1367	1183	4797	3762	2953	1740
"RAPGEF2_17675"	5	6	2	1	3	6	5	7
"MYL4_17683"	0	1	0	0	4	0	0	2
"AOAH_17685"	3	0	0	1	2	7	0	0
"CDKN3_17690"	570	464	714	564	945	992	2451	1599
"ANKRD30A_17691"	1	0	2	0	5	2	0	0
"CD80_17693"	0	0	0	0	0	0	0	0
"UHRF1_17708"	3	1	13	12	16	10	47	12
"EPB42_17721"	0	0	0	0	6	0	0	0
"ATP6V1B2_17790"	1358	1029	1130	930	3091	2300	2112	1256
"EPHX1_17800"	7024	7016	4594	3077	8229	6034	8237	4018
"F13A1_17806"	2	4	0	0	4	0	0	0
"IFITM3_17816"	6959	6619	8797	6099	19422	14056	13819	9039
"HIST1H3D_17823"	508	429	1069	759	1562	1632	1183	1165
"MLIP_17825"	4	7	4	3	5	12	1	0
"GNB3_17839"	0	1	0	0	5	0	1	5
"HLA-DPB1_17856"	0	0	0	0	6	0	0	0
"ANXA8_17897"	249	236	236	193	378	285	1165	684
"SFTPA1_17909"	3	5	8	2	20	8	2	3
"CYP39A1_17915"	100	81	38	33	92	83	50	29
