ID	Ensembl_Gene_ID	Entrez_ID	pcl.1	pcl.2	pc.mean	pc.sd	NonHDACi.score	HDACi.score	std.dev	Api	Mo	Oxa	Pan	SBHA	Scr	Sodbuty	Tac	TSA	Vor	X2.DG	X5.FU	Ant	Ble	CdCl2	Cisp	CPT	HU	Tun	Vin
GLDC	ENSG00000178445	2731	-0.11313157636042	-0.0800838545676559	0.467704500322342	1.11243018643088	-0.492736755	1.428145756	1.045919298	1.36312497528559	0.479998046865112	1.10172979236638	1.59676659319655	1.13559808238628	1.96475886862743	1.63376822768482	1.51967009889824	2.04709010637957	1.43895276419926	-0.990824518726672	0.256878885125209	-0.458204842437248	-1.28073427875058	-0.428074280173746	0.553696132737972	-0.671091646732424	-1.23624815517095	-0.49933889205274	-0.173425953261215
GNAZ	ENSG00000128266	2781	-0.112985889326669	0.0432555564574036	0.587617248425133	0.728973897548896	-0.068189278	1.243423775	0.803727959	1.31957524219493	0.957961494859274	1.01223083813553	1.66411995899349	1.15640269567069	1.63444090811668	1.36284008157626	0.812968449945857	1.30267661660909	1.21102146649827	-0.0936329022414784	0.127522435484452	0.105034415119357	-0.317459546311124	0.135850064192507	-0.0509791665262289	0.426342294335284	-0.355828750577251	-0.0327579002961942	-0.625983727276744
GPR183	ENSG00000169508	1880	0.113651897162077	-0.0309360810157645	-1.49533249919785	1.44943028344933	-0.278955847	-2.711709152	1.272892342	-2.92274437566481	-0.92703284372664	-2.49343393770002	-3.21017091663172	-2.60753037687343	-3.56318287427935	-3.53687328709787	-1.72434332720331	-3.31565974289616	-2.81611983513659	0.841394771187953	0.0690161357189476	-0.766527379431401	0.524571170886852	-0.866419193433293	-0.277961972752157	-0.386008964866593	0.0480451294972344	-1.3773720599014	-0.598296103653276
HEY1	ENSG00000164683	23462	-0.106321613402467	-0.046037873756005	0.395510803703787	0.753263210355833	-0.262421649	1.053443257	0.858979913	0.722132014107287	0.68045594014232	0.678712533199213	0.894845451187677	1.08576910472869	1.19232275018311	1.41157013826778	1.38828225812806	1.21369994376834	1.26664243145019	0.280373064933789	-0.218914822047617	0.477792604436663	-0.155432034417314	-0.641892570585086	-0.35441711974148	-0.513602519622196	-0.430333566386198	-0.788720357282113	-0.279069170375382
HIP1	ENSG00000127946	3092	-0.118395395582503	0.0139642756969387	0.630454804394845	1.34525071565238	-0.583987041	1.844896649	1.036585044	2.57813074706716	0.709886798129986	2.40704174093162	2.07143640250982	1.66449249485694	2.40548251883532	2.00034894992173	0.842618880906127	2.03570967126957	1.73381828918123	-0.802557525886872	-0.106781964503498	-0.575954956400499	-0.740823005020555	-1.00864571274213	-0.965416471836693	-0.901107993630009	-0.348488881271492	-0.499078218362779	0.108984323941934
HMCES	ENSG00000183624	56941	-0.108322554626517	-0.0297756258342635	0.405213784234334	1.49677862275646	-0.864514836	1.674942405	1.272807675	1.73137368793027	0.967692761031481	1.68778472804836	2.0164892247457	1.74896959194438	2.0672646786163	2.10027766300056	1.15507793117617	1.61466578505582	1.65982799725684	-0.817526162378949	-1.60974070163245	-2.48953328185216	-1.6812054837099	-0.682286479642749	0.798442250127273	-0.5626755426181	-0.930329480771469	-1.27534849550009	0.605055013859399
ID1	ENSG00000125968	3397	-0.0957006823215091	-0.242635260503384	0.129376571779309	3.0075006640676	-2.028600408	2.287353552	2.606769569	1.73536830796611	1.32130399348304	1.8564778223768	2.73469162467644	2.07180696238295	3.46077028046887	2.83767327863126	2.17647361740899	2.39761396940399	2.28135566145907	-6.66700799474966	-1.01278922011553	-0.79625584146256	-4.60327248766613	-4.37435869210577	0.84557459880386	0.857115912893573	-5.3080881469084	0.123408229229336	0.649669559409934
IFI6	ENSG00000126709	2537	-0.108563737867068	-0.00263938103237698	0.774842899675119	0.836307629444949	0.043925419	1.505760381	0.895883282	1.59939822469821	0.843250439088635	1.19277472038634	1.68177895428808	1.12542142823777	2.28504343174045	1.95917391069764	1.75629513404907	1.25514672422128	1.35932084012501	0.164071493676273	-0.172711600915919	-0.281063996747023	0.189981358214215	0.325592975513557	-0.337667597938472	0.513452557519377	-0.251862170883326	0.445796902000695	-0.156335734469474
IL3RA	ENSG00000185291	3563	-0.101359008778434	-0.0838085061586147	0.323058824684575	1.16071868812577	-0.645183257	1.291300907	1.132345573	0.257444479439334	1.18595038794527	0.49710093406408	1.91437553769509	1.26644398852946	1.7951570894486	1.32640597901404	1.96029901602216	1.4743054579566	1.23552619626092	0.228432124652763	-0.572678278099442	-1.62393604658206	-0.0680969525516741	-1.65504168135364	0.161726084816856	-1.10552793226629	-0.572478481186482	-0.796456951623272	-0.447774458490814
INO80D	ENSG00000114933	54891	0.116642891515682	-0.105346042240414	-0.896909703996641	0.936541168137376	-0.06993643	-1.723882978	0.922922036	-1.90156406003547	-0.772191329435336	-2.13050512287047	-2.13145484132826	-1.77689603020688	-2.5150373785545	-1.67092979143664	-0.905150353630941	-1.72067693483366	-1.71442394257573	0.048166116470914	0.0170471258686538	0.217445953487283	-0.191689955455187	-0.239983860887735	-0.495533429089901	-0.217744968616372	0.13281429792884	-0.0566939994092799	0.0868084246778521
